"route_uniq","pct_crop","pct_past","have_cent"
"C840S17R309",0,1.072,TRUE
"C840S17R310",0,0.083,TRUE
"C840S17R311",0,0.616,TRUE
"C840S17R312",25.174,0.335,TRUE
"C840S17R313",63.053,0.969,TRUE
"C840S17R314",69.594,0.248,TRUE
"C840S17R315",0.239,3.574,TRUE
"C840S17R316",0,0.612,TRUE
"C840S17R317",0.005,1.061,TRUE
"C840S17R318",0,0.209,TRUE
"C840S17R319",1.565,0,TRUE
"C840S17R320",9.197,0.156,TRUE
"C840S17R321",72.362,0.288,TRUE
"C840S17R322",5.677,1.336,TRUE
"C840S17R323",0.58,13.33,TRUE
"C840S17R324",0.019,0.484,TRUE
"C840S17R325",2.169,5.648,TRUE
"C840S17R326",0.049,0.705,TRUE
"C840S17R327",1.501,0,TRUE
"C840S17R328",23.428,4.244,TRUE
"C840S17R351",0,0.861,TRUE
"C840S17R352",0.443,5.554,TRUE
"C840S17R353",0,1.433,TRUE
"C840S17R354",0.541,1.832,TRUE
"C840S17R358",0,1.992,TRUE
"C840S17R359",0.013,4.928,TRUE
"C840S17R360",0.042,1.606,TRUE
"C840S17R361",0,0.114,TRUE
"C840S17R362",0.298,0.072,TRUE
"C840S17R365",0.028,3.811,TRUE
"C840S17R366",0.019,4.069,TRUE
"C840S17R367",0.001,0.927,TRUE
"C840S17R368",0.035,1.942,TRUE
"C840S17R372",0.118,4.727,TRUE
"C840S17R373",0,0.02,TRUE
"C840S17R374",0.001,0.102,TRUE
"C840S17R375",0.035,0.929,TRUE
"C840S17R376",0.328,0.724,TRUE
"C840S17R377",0,2.155,FALSE
"C840S17R410",0,0.085,TRUE
"C840S17R412",76.158,1.095,TRUE
"C840S17R419",8.011,0.002,TRUE
"C840S17R422",3.214,15.073,TRUE
"C840S17R423",0.552,13.495,TRUE
"C840S17R425",2.423,3.026,TRUE
"C840S17R453",0,1.375,TRUE
"C840S17R900",31.365,2.671,TRUE
"C840S17R901",5.607,0.091,TRUE
"C840S17R902",0.001,0.153,TRUE
"C840S17R903",0.489,9.685,TRUE
"C840S17R904",0,0.121,TRUE
"C840S18R001",1.016,6.74,TRUE
"C840S18R002",0.871,5.287,TRUE
"C840S18R003",0.885,8.223,TRUE
"C840S18R004",1.172,8.544,TRUE
