"route_uniq","quad_poly_id"
"C840S17R043",214
"C840S17R044",214
"C840S17R045",210
"C840S17R046",211
"C840S17R047",212
"C840S17R048",212
"C840S17R049",213
"C840S17R050",241
"C840S17R051",214
"C840S17R052",239
"C840S17R053",239
"C840S17R054",240
"C840S17R055",240
"C840S17R056",269
"C840S17R057",241
"C840S17R058",270
"C840S17R116",211
"C840S17R122",238
"C840S17R124",239
"C840S17R125",240
"C840S17R126",241
"C840S17R138",211
"C840S17R153",239
"C840S17R154",240
"C840S17R201",182
"C840S17R202",182
"C840S17R203",183
"C840S17R204",183
"C840S17R205",184
"C840S17R206",184
"C840S17R207",185
"C840S17R208",182
"C840S17R209",182
"C840S17R210",212
"C840S17R211",183
"C840S17R212",184
"C840S17R213",213
"C840S17R214",214
"C840S17R215",211
"C840S17R216",211
"C840S17R217",212
"C840S17R218",212
"C840S17R219",241
"C840S17R220",241
"C840S17R221",242
"C840S17R222",239
"C840S17R223",239
"C840S17R224",240
"C840S17R225",240
"C840S17R226",241
"C840S17R227",242
"C840S17R228",270
"C840S17R253",239
"C840S17R301",182
"C840S17R302",182
"C840S17R303",183
"C840S17R304",183
"C840S17R305",184
"C840S17R306",184
"C840S17R307",185
"C840S17R308",181
"C840S17R309",211
"C840S17R310",212
"C840S17R311",212
"C840S17R312",213
"C840S17R313",214
"C840S17R314",214
"C840S17R315",210
"C840S17R316",211
"C840S17R317",212
"C840S17R318",212
"C840S17R319",213
"C840S17R320",213
"C840S17R321",242
"C840S17R322",238
"C840S17R323",239
"C840S17R324",239
"C840S17R325",240
"C840S17R326",241
"C840S17R327",241
"C840S17R328",242
"C840S17R351",182
"C840S17R352",182
"C840S17R353",183
"C840S17R354",183
"C840S17R358",182
"C840S17R359",182
"C840S17R360",183
"C840S17R361",183
"C840S17R362",213
"C840S17R365",210
"C840S17R366",211
"C840S17R367",239
"C840S17R368",240
"C840S17R372",238
"C840S17R373",239
"C840S17R374",240
"C840S17R375",240
"C840S17R376",241
"C840S17R377",182
"C840S17R378",183
"C840S17R410",212
"C840S17R412",184
"C840S17R419",241
"C840S17R422",238
"C840S17R423",239
"C840S17R425",240
"C840S17R453",183
"C840S17R900",184
"C840S17R901",184
"C840S17R902",183
"C840S17R903",238
"C840S17R904",183
"C840S18R001",142
"C840S18R002",141
"C840S18R003",141
"C840S18R004",142
"C840S18R005",111
"C840S18R006",142
"C840S18R007",142
"C840S18R008",141
"C840S18R009",141
"C840S18R010",141
"C840S18R011",141
"C840S18R012",141
"C840S18R013",141
"C840S18R014",141
"C840S18R015",141
"C840S18R016",141
"C840S18R102",141
"C840S18R105",111
"C840S18R112",141
"C840S18R116",141
"C840S21R001",200
"C840S21R002",171
"C840S21R003",200
"C840S21R004",200
"C840S21R005",200
"C840S21R006",201
"C840S21R007",201
"C840S21R008",200
"C840S21R009",201
"C840S21R010",200
"C840S21R105",200
"C840S21R107",201
"C840S21R108",200
"C840S21R109",200
"C840S21R900",200
"C840S21R901",200
"C840S21R921",200
"C840S25R001",368
"C840S25R002",369
"C840S25R003",369
"C840S25R004",370
"C840S25R005",370
"C840S25R006",370
"C840S25R007",369
"C840S25R008",370
"C840S25R009",385
"C840S25R010",370
"C840S25R011",386
"C840S25R012",371
"C840S25R013",387
"C840S25R014",386
"C840S25R015",385
"C840S25R016",394
"C840S25R017",394
"C840S25R018",372
"C840S25R019",372
"C840S25R020",394
"C840S25R021",372
"C840S25R022",394
"C840S25R023",387
"C840S25R024",394
"C840S25R025",388
"C840S25R026",399
"C840S25R027",394
"C840S25R028",400
"C840S25R029",394
"C840S25R030",395
"C840S25R031",395
"C840S25R032",399
"C840S25R033",400
"C840S25R035",400
"C840S25R036",403
"C840S25R037",372
"C840S25R038",372
"C840S25R039",400
"C840S25R040",400
"C840S25R051",368
"C840S25R052",369
"C840S25R053",369
"C840S25R054",370
"C840S25R055",369
"C840S25R056",371
"C840S25R057",370
"C840S25R058",371
"C840S25R059",371
"C840S25R060",372
"C840S25R061",371
"C840S25R062",385
"C840S25R063",387
"C840S25R064",387
"C840S25R065",387
"C840S25R066",387
"C840S25R067",395
"C840S25R068",387
"C840S25R069",387
"C840S25R070",394
"C840S25R071",394
"C840S25R072",394
"C840S25R073",394
"C840S25R074",395
"C840S25R075",395
"C840S25R076",400
"C840S25R077",400
"C840S25R078",400
"C840S25R079",400
"C840S25R080",400
"C840S25R081",400
"C840S25R082",399
"C840S25R083",403
"C840S25R084",386
"C840S25R085",393
"C840S25R086",399
"C840S25R087",399
"C840S25R088",400
"C840S25R105",370
"C840S25R107",369
"C840S25R108",370
"C840S25R109",385
"C840S25R113",387
"C840S25R116",394
"C840S25R117",394
"C840S25R123",387
"C840S25R129",394
"C840S25R132",399
"C840S25R135",403
"C840S25R137",372
"C840S25R138",372
"C840S25R151",369
"C840S25R159",371
"C840S25R165",387
"C840S25R170",394
"C840S25R172",394
"C840S25R175",395
"C840S25R176",400
"C840S25R178",400
"C840S25R180",403
"C840S25R183",403
"C840S25R207",369
"C840S25R283",403
"C840S25R901",370
"C840S25R902",371
"C840S25R903",387
"C840S25R904",370
"C840S25R905",387
"C840S25R906",394
"C840S25R907",403
"C840S25R908",387
"C840S25R909",386
"C840S25R910",399
"C840S25R911",395
"C840S25R912",400
"C840S25R913",399
"C840S25R915",388
"C840S25R916",394
"C840S25R917",371
"C840S25R918",387
"C840S25R919",395
"C840S25R920",369
"C840S25R921",385
"C840S25R922",386
"C840S25R923",368
"C840S25R925",388
"C840S27R001",372
"C840S27R002",372
"C840S27R003",356
"C840S27R004",371
"C840S27R005",355
"C840S27R006",370
"C840S27R007",355
"C840S27R008",356
"C840S27R009",354
"C840S27R010",354
"C840S27R011",356
"C840S27R012",355
"C840S27R013",333
"C840S27R014",354
"C840S27R015",332
"C840S27R016",332
"C840S27R017",355
"C840S27R018",371
"C840S27R019",333
"C840S27R020",333
"C840S27R021",370
"C840S27R022",332
"C840S27R023",331
"C840S27R024",307
"C840S27R025",370
"C840S27R026",306
"C840S27R027",332
"C840S27R028",354
"C840S27R029",354
"C840S27R030",307
"C840S27R031",333
"C840S27R032",333
"C840S27R033",354
"C840S27R034",334
"C840S27R035",332
"C840S27R036",331
"C840S27R037",306
"C840S27R038",354
"C840S27R039",306
"C840S27R040",307
"C840S27R041",307
"C840S27R042",307
"C840S27R043",332
"C840S27R044",332
"C840S27R045",332
"C840S27R046",332
"C840S27R047",333
"C840S27R048",333
"C840S27R049",354
"C840S27R050",355
"C840S27R051",333
"C840S27R052",354
"C840S27R053",355
"C840S27R054",334
"C840S27R055",355
"C840S27R056",356
"C840S27R057",370
"C840S27R058",371
"C840S27R102",372
"C840S27R111",356
"C840S27R112",355
"C840S27R117",355
"C840S27R119",333
"C840S27R122",332
"C840S27R123",331
"C840S27R142",307
"C840S27R155",355
"C840S27R156",356
"C840S27R158",371
"C840S27R301",372
"C840S27R302",371
"C840S27R303",371
"C840S27R304",372
"C840S27R305",356
"C840S27R306",371
"C840S27R307",355
"C840S27R308",333
"C840S27R309",333
"C840S27R310",334
"C840S27R311",371
"C840S27R312",371
"C840S27R313",371
"C840S27R314",355
"C840S27R315",355
"C840S27R316",370
"C840S27R317",354
"C840S27R318",354
"C840S27R319",354
"C840S27R320",333
"C840S27R321",354
"C840S27R322",332
"C840S27R323",333
"C840S27R324",333
"C840S27R325",333
"C840S27R326",332
"C840S27R327",332
"C840S27R328",332
"C840S27R329",331
"C840S27R330",331
"C840S27R331",307
"C840S27R332",308
"C840S27R333",307
"C840S27R334",332
"C840S27R335",307
"C840S27R336",306
"C840S27R337",306
"C840S27R430",331
"C840S27R900",332
"C840S33R001",7
"C840S33R002",16
"C840S33R003",17
"C840S33R004",35
"C840S33R005",36
"C840S33R006",36
"C840S33R007",35
"C840S33R008",36
"C840S33R009",36
"C840S33R010",62
"C840S33R011",60
"C840S33R012",61
"C840S33R013",61
"C840S33R014",61
"C840S33R015",90
"C840S33R016",91
"C840S33R017",88
"C840S33R018",88
"C840S33R019",89
"C840S33R020",89
"C840S33R021",90
"C840S33R022",90
"C840S33R023",88
"C840S33R024",88
"C840S33R025",119
"C840S33R026",119
"C840S33R027",120
"C840S33R028",120
"C840S33R029",6
"C840S33R030",36
"C840S33R109",36
"C840S33R111",60
"C840S33R119",89
"C840S33R124",88
"C840S33R128",120
"C840S33R202",17
"C840S33R204",35
"C840S33R205",36
"C840S33R207",35
"C840S33R208",35
"C840S33R209",61
"C840S33R211",60
"C840S33R212",61
"C840S33R213",61
"C840S33R214",90
"C840S33R217",88
"C840S33R218",88
"C840S33R219",89
"C840S33R220",89
"C840S33R221",90
"C840S33R222",91
"C840S33R223",87
"C840S33R224",88
"C840S33R225",119
"C840S33R226",119
"C840S33R227",120
"C840S33R228",120
"C840S33R319",89
"C840S33R901",90
"C840S33R902",90
"C840S33R903",90
"C840S33R904",90
"C840S33R905",90
"C840S33R906",17
"C840S33R907",16
"C840S34R001",163
"C840S34R002",163
"C840S34R003",163
"C840S34R004",164
"C840S34R005",164
"C840S34R006",164
"C840S34R007",163
"C840S34R008",163
"C840S34R009",192
"C840S34R010",163
"C840S34R011",163
"C840S34R012",164
"C840S34R013",193
"C840S34R014",164
"C840S34R015",164
