"route_uniq","fips","lat","lon","type"
"C840S14R020","06077",37.89036371,-121.27461314,"centroid"
"C840S14R021","06047",37.61085807,-120.66881595,"centroid"
"C840S14R021","06099",37.61085807,-120.66881595,"centroid"
"C840S14R022","06019",37.23381507,-119.4874246,"centroid"
"C840S14R022","06039",37.23381507,-119.4874246,"centroid"
"C840S14R023","06027",37.18413942,-118.15617293,"centroid"
"C840S14R024","06019",36.62342919,-119.93839002,"centroid"
"C840S14R025","06069",36.80421035,-121.34399885,"centroid"
"C840S14R026","06019",36.30417,-120.17754275,"centroid"
"C840S14R027","06019",36.75617873,-119.6571709,"centroid"
"C840S14R028","06107",36.25960039,-118.85216137,"centroid"
"C840S14R029","06027",36.87612878,-117.50222,"centroid"
"C840S14R030","06027",36.29263209,-117.92671642,"centroid"
"C840S14R031","06027",36.36889214,-117.17602233,"centroid"
"C840S14R032","06053",35.67530821,-120.59270156,"centroid"
"C840S14R032","06079",35.67530821,-120.59270156,"centroid"
"C840S14R033","06029",35.11690984,-119.2062668,"centroid"
"C840S14R034","06029",35.6654577,-118.2004325,"centroid"
"C840S14R035","06029",35.23748407,-117.95717511,"centroid"
"C840S14R036","06071",35.14265089,-116.95914954,"centroid"
"C840S14R037","06071",35.47432553,-115.81007764,"centroid"
"C840S14R038","06083",34.61780061,-120.09857876,"centroid"
"C840S14R039","06111",34.48954923,-119.28419866,"centroid"
"C840S14R040","06029",34.91095426,-118.36840661,"centroid"
"C840S14R041","06071",34.62654935,-117.16383065,"centroid"
"C840S14R042","06111",34.83889521,-119.16849737,"centroid"
"C840S14R042","06029",34.83889521,-119.16849737,"centroid"
"C840S14R043","06071",34.53937726,-115.65094557,"centroid"
"C840S14R044","06071",34.19748924,-114.26828839,"centroid"
"C840S14R045","06037",33.77070463,-118.36512618,"centroid"
"C840S14R046","06065",33.76870642,-117.13722123,"centroid"
"C840S14R047","06065",33.51626291,-116.86222254,"centroid"
"C840S14R047","06073",33.51626291,-116.86222254,"centroid"
"C840S14R048","06025",33.15410861,-115.30326646,"centroid"
"C840S14R049","06025",33.50398872,-114.63577477,"centroid"
"C840S14R049","06065",33.50398872,-114.63577477,"centroid"
"C840S14R050","06073",32.61321896,-117.04681285,"centroid"
"C840S14R051","06073",32.98295466,-116.36133946,"centroid"
"C840S14R052","06069",36.92461468,-121.40734751,"centroid"
"C840S14R052","06085",36.92461468,-121.40734751,"centroid"
"C840S14R053","06019",36.30238703,-120.69844898,"centroid"
"C840S14R053","06069",36.30238703,-120.69844898,"centroid"
"C840S14R054","06019",36.76252292,-119.30781962,"centroid"
"C840S14R054","06107",36.76252292,-119.30781962,"centroid"
"C840S14R055","06107",36.13471396,-118.74584536,"centroid"
"C840S14R056","06027",36.29834501,-117.49556979,"centroid"
"C840S14R057","06079",35.25112731,-120.77818769,"centroid"
"C840S14R058","06027",37.1921006,-117.61280939,"centroid"
"C840S14R059","06071",35.45580397,-117.70474147,"centroid"
"C840S14R059","06029",35.45580397,-117.70474147,"centroid"
"C840S14R060","06071",34.94106592,-117.25094306,"centroid"
