"route_uniq","fips","lat","lon"
"C840S14R406","06049",41.6708967,-121.2574609
"C840S14R407","06049",41.8699632,-120.5011538
"C840S14R408","06035",41.0534621,-120.4745547
"C840S14R409","06105",40.8031297,-123.4827189
"C840S14R410","06089",40.7168927,-122.6362459
"C840S14R411","06103",40.1803227,-122.8597869
"C840S14R412","06089",40.9620837,-121.5788419
"C840S14R413","06063",40.3052152,-121.143089
"C840S14R414","06035",40.4392679,-120.8358171
"C840S14R415","06063",40.0402279,-120.9961818
"C840S14R416","06063",39.9493657,-121.0380629
"C840S14R417","06091",39.5112797,-120.1772919
"C840S14R418","06061",39.0192397,-120.8263239
"C840S14R419","06017",38.7396833,-120.5734077
"C840S14R420","06017",38.7995807,-120.7242129
"C840S14R421","06043",37.7104224,-120.1968622
"C840S14R422","06043",37.4618753,-119.7938035
"C840S14R423","06107",36.0105997,-118.1213609
"C840S14R424","06107",35.7945597,-118.4486699
"C840S14R425","06029",35.6923897,-118.2905419
"C840S14R426","06051",37.77678,-119.0168752
"C840S14R427","06083",34.7072417,-119.6177289
"C840S14R428","06015",41.7045577,-123.8982699
"C840S14R429","06093",41.0822737,-123.0816729
"C840S14R430","06093",41.534114,-121.58434
"C840S14R431","06105",40.4903837,-123.0732879
"C840S14R432","06033",39.1628167,-122.6130599
"C840S14R433","06063",39.7978141,-120.139403
"C840S14R434","06109",38.1700196,-120.0376959
"C840S14R435","06023",40.8879703,-123.6046832
"C840S14R436","06063",40.1541637,-120.5453404
"C840S14R437","06011",39.382586,-122.551903
"C840S14R503","06001",37.665124,-121.73284
"C840S14R518","06061",39.06961,-120.56761
"C840S14R536","06063",40.1538157,-120.5457839
"C840S14R900","06093",41.9024247,-122.5631179
"C840S14R901","06093",41.5209207,-122.5202179
"C840S14R902","06015",41.8824344,-123.8192961
"C840S14R903","06023",40.6229877,-123.6395269
"C840S14R905","06023",40.7015167,-123.7020419
"C840S14R907","06065",33.9250177,-115.9269019
"C840S14R908","06023",41.2623507,-124.0971118
"C840S14R909","06069",36.3579209,-120.7791086
"C840S14R918","06015",41.46619,-124.0398
"C840S14R953","06023",40.6229877,-123.6395269
"C840S17R001","08081",40.7402199,-108.0883263
"C840S17R002","08081",40.8403233,-107.6901017
"C840S17R003","08107",40.1531859,-106.874918
"C840S17R004","08069",40.5090827,-105.0392299
"C840S17R005","08123",40.5963537,-104.2027819
"C840S17R006","08121",40.2096396,-103.440258
"C840S17R007","08075",40.6569477,-102.9337159
"C840S17R008","08045",39.4003427,-108.8123629
"C840S17R009","08103",39.9658907,-107.6483229
"C840S17R010","08097",39.2438073,-106.7610657
"C840S17R011","08059",39.2209796,-105.2791994
"C840S17R012","08039",39.3798417,-104.3691567
"C840S17R013","08121",39.8568857,-103.6493769
"C840S17R014","08125",39.8307687,-102.6325909
"C840S17R015","08029",38.694789,-108.1390507
"C840S17R016","08091",38.3057846,-107.9633117
"C840S17R017","08051",38.5137277,-106.7550729
"C840S17R018","08109",38.025678,-105.8127155
"C840S17R019","08041",38.8398807,-104.0920409
"C840S17R020","08073",38.6410567,-103.2279359
"C840S17R021","08099",38.1437717,-102.5212329
"C840S17R022","08083",37.5181967,-108.5355759
"C840S17R023","08067",37.2149507,-107.7918089
"C840S17R024","08007",37.2877307,-106.8369449
"C840S17R025","08023",37.2873497,-105.5524979
"C840S17R026","08071",37.6204777,-104.3145749
"C840S17R027","08011",37.9979687,-103.1977919
"C840S17R028","08099",37.6879837,-102.2921829
"C840S17R031","08103",40.0653006,-108.4153871
"C840S17R032","08103",40.1380256,-107.9697719
"C840S17R033","08057",40.8796847,-106.4591899
"C840S17R034","08069",40.8716166,-105.9079302
"C840S17R035","08123",40.3052417,-104.6963429
"C840S17R036","08075",40.8478437,-103.3439259
"C840S17R037","08125",40.2631147,-102.7182079
"C840S17R038","08077",39.1643935,-108.7012441
"C840S17R039","08045",39.6640362,-107.1232134
"C840S17R040","08037",39.5442667,-106.2206124
"C840S17R041","08093",39.0800627,-105.4160009
"C840S17R042","08001",39.8407587,-104.1886679
"C840S17R043","08121",39.6105587,-103.1230999
"C840S17R044","08063",39.3883077,-102.4274519
"C840S17R045","08077",38.7397289,-108.623622
"C840S17R046","08051",38.5920517,-106.9174979
"C840S17R047","08051",38.5112521,-106.5542061
"C840S17R048","08093",38.982811,-105.5746738
"C840S17R049","08041",38.6945177,-104.0715939
"C840S17R050","08025",38.1746667,-103.9489359
"C840S17R051","08017",38.6933497,-102.5906749
"C840S17R052","08033",37.7907487,-108.0204389
"C840S17R053","08053",37.9857447,-107.2239599
"C840S17R054","08105",37.4798557,-106.4522789
"C840S17R055","08021",37.1810849,-105.7459646
